city,country,venue,lat,lon
USA,State Farm Stadium,33.527723054750965,-112.26250565986618, America 
USA,Allegiant Stadium,36.09094450060481,-115.18325783090872,North America
USA,AT&T Stadium,32.74817800846315,-97.09327491966025,North America
USA,Raymond James Stadium,27.97594487696552,-82.50343096380242,North America
USA,NRG Stadium,29.684954895387932,-95.41073959071946,North America
USA,Mercedes-Benz Stadium,33.75543021496932,-84.40067633472023,North America
USA,Nissan Stadium,36.166685508424145,-86.77124585974073,North America
USA,Lincoln Financial Field,39.901624636682136,-75.16756701722092,North America
USA,Gillette Stadium,42.09106995972086,-71.26428203244453,North America
USA,MetLife Stadium,40.81369313164212,-74.07451064785776,North America
USA,Soldier Field,41.86244900632773,-87.61667767478575,North America
USA,Ford Field,42.34019669899272,-83.04548498640175, North America
USA,Acrisure Stadium,40.446985219087686,-80.01572811719168,North America
USA,US Bank Stadium,44.97382063899347,-93.25748377460798,North America
USA,Paycor Stadium,39.09555749094284,-84.51604697493502,North America
USA,GEHA Field at Arrowhead,39.04954181692794,-94.48407565684704,North America
USA,Empower Field at Mile High,39.7440574120311,-105.02019424791528,North America
USA,Lumen Field,47.595282003726936,-122.33171450513645,North America
USA,Levi's Stadium,37.40348692722447,-121.96935594618644,North America
USA,SoFi Stadium,33.95361886470102,-118.33907714820384,North America
Mexico,Foro Sol,19.40523373354308,-99.0956640199098,North America
Argentina,Estadio River Plate,-34.54298508123753,-58.450016524903845,South America
Brazil,Estádio Nilton Santos,-22.89305743687718,-43.29226988911928,South America
Brazil,Allianz Parque,-23.52736491856345,-46.67851984862018,South America
Japan,Tokyo Dome,35.705892222921754,139.75185910955082,Asia
Australia,Melbourne Cricket Ground,-37.81974651771056,144.98343856732748,Oceania
Australia,Accor Stadium,-33.84696409315562,151.06346714014853,Oceania
Singapore,National Stadium,1.304141683531005,103.8748468169087,Asia
France,La Défense Arena,48.895806840791735,2.229647454465896,Europe
Sweden,Friends Arena,59.372846722397,18.000444484006422,Europe #
Portugal,Estádio da Luz,38.75290801179231,-9.184670546117204,Europe
Spain,Estadio Santiago Bernabéu,40.45318562289652,-3.688322974862868,Europe
France,Groupama Stadium,45.76536655963951,4.981987281260152,Europe
UK,Murrayfield Stadium,55.94241386718849,-3.2411367622633276,Europe
UK,Anfield,53.43293571322062,-2.960506438106785,Europe
UK,Principality Stadium,51.478362158705494,-3.18259118769774,Europe
UK,Wembley Stadium,51.55615808450793,-0.2795962453641575,Europe
Ireland,Aviva Stadium,53.33533393548704,-6.227822756889519,Europe
Netherlands,Johan Cruijff Arena,52.31448684873558,4.9418594258497395,Europe
Switzerland,Letzigrund Stadium,47.38285566703226,8.503758739029296,Europe
Italy,San Siro,45.480969407033605,9.125884272929673,Europe
Germany,Veltins-Arena,51.55450939824997,7.068465995114097,Europe
Germany,Volksparkstadion,53.58729238198922,9.89858608175546,Europe
Germany,Olympiastadion,48.17333288767648,11.546586596749409,Europe
Austria,Ernst Happel Stadion,48.20735077327666,16.420855950722657,Europe
Poland,PGE Narodowy,52.2394000110808,21.045292281666143,Europe
Canada,Rogers Centre,43.64173105390502,-79.38941747468535,North America
Canada,BC Place,49.27687596325353,-123.11202046085307,North America
USA,Lucas Oil Stadium,39.7602408800704,-86.16387697489998,North America
USA,Caesars Superdome,29.95128407927276,-90.08127639070842,North America
USA,Hard Rock Stadium,25.958133078081023,-80.2389542043568,North America
